,location,category,title
0,인천,1,송도 센트럴 파크
1,인천,1,인천 대교
2,인천,1,송월동동화마을
3,인천,1,G타워
4,인천,2,을왕리해수욕장
5,인천,2,동막 해변
6,인천,2,마시안 해변
7,인천,2,영종씨사이드 레일바이크
8,인천,3,인천공항 컬쳐포트
9,인천,3,송도케이라이브극장
10,인천,3,인천서구문화회관 소공연장
11,인천,3,인천계양문화회관
12,인천,4,교동대룡시장
13,인천,4,인천문화 양조장
14,인천,4,강화인삼센터
15,인천,4,농가의 부엌
16,인천,5,신포국제시장
17,인천,5,현대프리미엄아울렛 송도점
18,인천,5,SM면세점 인천공항점
19,인천,5,트리플스트리트
