,location,category,title
0,대전,1,유성온천 야외 족욕체험장
1,대전,1,한밭수목원
2,대전,1,대전 오-월드
3,대전,1,장태산자연휴양림
4,대전,2,대전 오-월드
5,대전,2,계족산 황톳길
6,대전,2,대청호 오백리길
7,대전,2,대전아쿠아리움
8,대전,3,대전예술의전당
9,대전,3,대전시립연정국악원
10,대전,3,정심화홀
11,대전,3,대전예술가의집
12,대전,5,대전중앙시장
13,대전,5,대전중앙로지하상가
14,대전,5,갤러리아백화점 타임월드점
15,대전,5,롯데백화점대전점
